City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,san luis de la loma,17.2706,-100.8939,30.79,65,100,3.51,MX,1687636391
160,almunecar,36.7339,-3.6907,34.27,60,0,0.71,ES,1687636391
161,bilibino,68.0546,166.4372,14.33,50,98,1.55,RU,1687636392
162,bikaner,28.0167,73.3,35.84,39,6,8.75,IN,1687636392
163,nemuro,43.3236,145.575,10.25,98,98,2.13,JP,1687636392
164,utrik,11.2278,169.8474,27.51,80,88,8.63,MH,1687636392
165,karukh,34.4811,62.5863,23.78,19,12,6.15,AF,1687636392
166,vernon,50.2581,-119.2691,29.5,37,7,2.06,CA,1687635836
167,turpan,42.9333,89.1667,29.38,21,100,2.21,CN,1687636393
168,colonia,50.9333,6.95,24.87,52,0,1.54,DE,1687636324
169,scottburgh,-30.2867,30.7532,16.1,84,30,2.67,ZA,1687636393
170,puerto baquerizo moreno,-0.9,-89.6,28.55,65,75,5.14,EC,1687636393
171,quezon,7.7303,125.0989,22.45,97,97,0.15,PH,1687636393
172,lluta,-16.0147,-72.0142,15.61,21,0,3.48,PE,1687636394
173,zhangye,38.9342,100.4517,20.47,32,79,3.78,CN,1687636394
174,lloydminster,53.2835,-110.0016,26.12,34,40,6.17,CA,1687636394
175,guiratinga,-16.3494,-53.7583,28.73,35,100,2.68,BR,1687636394
176,qoryooley,1.7878,44.53,24.17,83,95,6.2,SO,1687636394
177,yellowknife,62.456,-114.3525,15.31,41,75,8.75,CA,1687636395
178,college,64.8569,-147.8028,23.59,62,40,1.54,US,1687636395
179,banlung,13.7468,107.0045,22.48,96,100,0.74,KH,1687636395
180,uturoa,-16.7333,-151.4333,27.24,75,31,5.91,PF,1687636395
181,isafjordur,66.0755,-23.124,11.6,88,99,1.4,IS,1687636389
182,ouddorp,51.8117,3.9347,23.08,67,3,1.91,NL,1687636395
183,zabol,32.25,67.25,28.88,30,8,6.97,AF,1687636396
184,bukan,36.521,46.2089,19.89,54,0,2.77,IR,1687636396
